id,programa,institucion,estado,ciudad,costo_colones,costo_texto,duracion_meses,duracion_texto,modalidad,nivel,categoria,etiquetas,fuente
FPE-CR-001,Asistente Técnico en Atención Primaria,Instituto Parauniversitario ASEMECO,Aprobado,San Jose,17694000.00,"₡17.694.000,00",12,12 meses,Presencial,Otro,Salud,atención;salud;servicio,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-002,Bachillerato en Administración de Empresas con énfasis en RRHH,Universidad San José Sede Liberia,Aprobado,Liberia,19894000.00,"₡19.894.000,00",32,32 meses,Híbrido,Bachillerato,Administración y negocios,administración;negocios;oficina;recursos humanos,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-003,Bachillerato en Administración de Negocios,Universidad Castro Carazo,Aprobado,San José,20394000.00,"₡20.394.000,00",32,32 meses,Presencial,Bachillerato,Administración y negocios,administración;negocios;oficina,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-004,Bachillerato en Administración de Negocios,Universidad Latina de Costa Rica,Aprobado,San José,21394000.00,"₡21.394.000,00",32,32 meses,Presencial,Bachillerato,Administración y negocios,administración;negocios;oficina,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-005,Bachillerato en Administración de Negocios,Universidad Fidelitas S.A,Aprobado,San José,22662798.00,"₡22.662.798,00",32,32 meses,Presencial,Bachillerato,Administración y negocios,administración;negocios;oficina,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-006,Bachillerato en Administración de Negocios,Universidad Hispanoamericana,Aprobado,San José,21894000.00,"₡21.894.000,00",36,36 meses,Presencial,Bachillerato,Administración y negocios,administración;negocios;oficina,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-007,Bachillerato en Ciencias de la Educación con Énfasis en I y II Ciclo,Universidad Americana S.A,Aprobado,San José,19918262.00,"₡19.918.262,00",32,32 meses,Híbrido,Bachillerato,Educación,docencia;educación;enseñanza,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-008,Bachillerato en Ciencias de la Educación con Enfasis en l y ll Ciclo,Universidad Politécnica Internacional UPI S.A.,Aprobado,Heredia,19795700.00,"₡19.795.700,00",32,32 meses,Híbrido,Bachillerato,Educación,docencia;educación;enseñanza,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-009,Bachillerato en Contaduría,Universidad Fidelitas S.A,Aprobado,San José,22394000.00,"₡22.394.000,00",36,36 meses,Híbrido,Bachillerato,Contabilidad y finanzas,contabilidad;finanzas;oficina,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-010,Bachillerato en Contaduría,Universidad Latina de Costa Rica,Aprobado,San José,22894000.00,"₡22.894.000,00",32,32 meses,Híbrido,Bachillerato,Contabilidad y finanzas,contabilidad;finanzas;oficina,https://portal.pef.churchofjesuschrist.org/print/programsandschools
